event_id,order_id,date,shift,machine_id,category,reason,duration_min,planned
DT-0000001,WO-000001,2025-01-01,Morning,M01,Microstop,Material jam,63.5,0
DT-0000002,WO-000002,2025-01-01,Afternoon,M01,Process,Parameter adjustment,50.19,0
DT-0000003,WO-000003,2025-01-01,Morning,M02,Microstop,Material jam,21.73,0
DT-0000004,WO-000003,2025-01-01,Morning,M02,Microstop,Vision retry,2.96,0
DT-0000005,WO-000003,2025-01-01,Morning,M02,Microstop,Vision retry,5.29,0
DT-0000006,WO-000003,2025-01-01,Morning,M02,Material,Material shortage,23.73,0
DT-0000007,WO-000003,2025-01-01,Morning,M02,Microstop,Vision retry,5.19,0
DT-0000008,WO-000004,2025-01-01,Afternoon,M02,Process,Parameter adjustment,70.61,0
DT-0000009,WO-000005,2025-01-01,Morning,M03,Microstop,Material jam,34.62,0
DT-0000010,WO-000006,2025-01-01,Afternoon,M03,Changeover,Tooling change,59.91,0
DT-0000011,WO-000007,2025-01-01,Morning,M04,Changeover,Fixture setup,107.78,0
DT-0000012,WO-000007,2025-01-01,Morning,M04,Breakdown,Mechanical fault,18.14,0
DT-0000013,WO-000008,2025-01-01,Afternoon,M04,Breakdown,Robot recovery,132.16,0
DT-0000014,WO-000009,2025-01-01,Afternoon,M05,Planned,Preventive maintenance,75.71,1
DT-0000015,WO-000010,2025-01-01,Morning,M06,Material,Material shortage,25.11,0
DT-0000016,WO-000010,2025-01-01,Morning,M06,Planned,Preventive maintenance,8.36,1
DT-0000017,WO-000011,2025-01-01,Afternoon,M06,Breakdown,Mechanical fault,19.17,0
DT-0000018,WO-000012,2025-01-02,Morning,M01,Process,Parameter adjustment,10.76,0
DT-0000019,WO-000012,2025-01-02,Morning,M01,Changeover,Tooling change,30.66,0
DT-0000020,WO-000013,2025-01-02,Afternoon,M01,Material,Material shortage,29.85,0
DT-0000021,WO-000013,2025-01-02,Afternoon,M01,Microstop,Material jam,6.51,0
DT-0000022,WO-000013,2025-01-02,Afternoon,M01,Breakdown,Sensor fault,5.6,0
DT-0000023,WO-000013,2025-01-02,Afternoon,M01,Microstop,Vision retry,2.56,0
DT-0000024,WO-000013,2025-01-02,Afternoon,M01,Planned,Preventive maintenance,19.03,1
DT-0000025,WO-000014,2025-01-02,Morning,M02,Changeover,Tooling change,26.49,0
DT-0000026,WO-000014,2025-01-02,Morning,M02,Microstop,Material jam,31.87,0
DT-0000027,WO-000015,2025-01-02,Afternoon,M02,Breakdown,Mechanical fault,81.7,0
DT-0000028,WO-000016,2025-01-02,Morning,M03,Breakdown,Sensor fault,14.35,0
DT-0000029,WO-000016,2025-01-02,Morning,M03,Planned,Calibration,20.29,1
DT-0000030,WO-000017,2025-01-02,Afternoon,M03,Changeover,Tooling change,56.63,0
DT-0000031,WO-000018,2025-01-02,Morning,M04,Planned,Calibration,43.72,1
DT-0000032,WO-000018,2025-01-02,Morning,M04,Breakdown,Wire feeder fault,1.0,0
DT-0000033,WO-000018,2025-01-02,Morning,M04,Planned,Calibration,79.56,1
DT-0000034,WO-000019,2025-01-02,Afternoon,M04,Process,Parameter adjustment,64.9,0
DT-0000035,WO-000019,2025-01-02,Afternoon,M04,Microstop,Material jam,56.99,0
DT-0000036,WO-000020,2025-01-02,Morning,M05,Microstop,Material jam,48.03,0
DT-0000037,WO-000021,2025-01-02,Afternoon,M05,Planned,Calibration,20.54,1
DT-0000038,WO-000021,2025-01-02,Afternoon,M05,Breakdown,Mechanical fault,43.13,0
DT-0000039,WO-000021,2025-01-02,Afternoon,M05,Breakdown,Sensor fault,13.44,0
DT-0000040,WO-000022,2025-01-02,Morning,M06,Planned,Calibration,19.6,1
DT-0000041,WO-000022,2025-01-02,Morning,M06,Changeover,Tooling change,7.09,0
DT-0000042,WO-000023,2025-01-02,Afternoon,M06,Material,Material shortage,23.28,0
DT-0000043,WO-000023,2025-01-02,Afternoon,M06,Microstop,Material jam,12.91,0
DT-0000044,WO-000023,2025-01-02,Afternoon,M06,Breakdown,Sensor fault,2.43,0
DT-0000045,WO-000023,2025-01-02,Afternoon,M06,Microstop,Vision retry,7.51,0
DT-0000046,WO-000024,2025-01-03,Morning,M01,Breakdown,Mechanical fault,19.34,0
DT-0000047,WO-000024,2025-01-03,Morning,M01,Changeover,Tooling change,9.43,0
DT-0000048,WO-000024,2025-01-03,Morning,M01,Microstop,Vision retry,9.63,0
DT-0000049,WO-000025,2025-01-03,Afternoon,M01,Microstop,Vision retry,80.07,0
DT-0000050,WO-000026,2025-01-03,Morning,M02,Changeover,Tooling change,62.25,0
DT-0000051,WO-000027,2025-01-03,Afternoon,M02,Microstop,Vision retry,40.55,0
DT-0000052,WO-000027,2025-01-03,Afternoon,M02,Changeover,Tooling change,1.62,0
DT-0000053,WO-000027,2025-01-03,Afternoon,M02,Changeover,Planned changeover,2.26,1
DT-0000054,WO-000027,2025-01-03,Afternoon,M02,Breakdown,Mechanical fault,16.44,0
DT-0000055,WO-000028,2025-01-03,Morning,M03,Process,Parameter adjustment,3.77,0
DT-0000056,WO-000028,2025-01-03,Morning,M03,Microstop,Vision retry,6.37,0
DT-0000057,WO-000028,2025-01-03,Morning,M03,Microstop,Material jam,22.87,0
DT-0000058,WO-000029,2025-01-03,Afternoon,M03,Planned,Calibration,5.45,1
DT-0000059,WO-000029,2025-01-03,Afternoon,M03,Material,Material shortage,37.31,0
DT-0000060,WO-000029,2025-01-03,Afternoon,M03,Process,Parameter adjustment,8.93,0
DT-0000061,WO-000030,2025-01-03,Morning,M04,Planned,Preventive maintenance,19.8,1
DT-0000062,WO-000030,2025-01-03,Morning,M04,Breakdown,Robot recovery,19.37,0
DT-0000063,WO-000030,2025-01-03,Morning,M04,Breakdown,Sensor fault,1.25,0
DT-0000064,WO-000030,2025-01-03,Morning,M04,Changeover,Fixture setup,35.74,0
DT-0000065,WO-000030,2025-01-03,Morning,M04,Planned,Preventive maintenance,36.38,1
DT-0000066,WO-000031,2025-01-03,Afternoon,M04,Microstop,Torch cleaning,101.02,0
DT-0000067,WO-000032,2025-01-03,Morning,M05,Breakdown,Mechanical fault,50.49,0
DT-0000068,WO-000033,2025-01-03,Afternoon,M05,Breakdown,Sensor fault,0.99,0
DT-0000069,WO-000033,2025-01-03,Afternoon,M05,Changeover,Tooling change,55.63,0
DT-0000070,WO-000034,2025-01-03,Morning,M06,Process,Parameter adjustment,18.83,0
DT-0000071,WO-000034,2025-01-03,Morning,M06,Process,Parameter adjustment,5.47,0
DT-0000072,WO-000034,2025-01-03,Morning,M06,Breakdown,Mechanical fault,0.97,0
DT-0000073,WO-000035,2025-01-03,Afternoon,M06,Planned,Preventive maintenance,44.72,1
DT-0000074,WO-000036,2025-01-06,Morning,M01,Changeover,Planned changeover,55.65,1
DT-0000075,WO-000036,2025-01-06,Morning,M01,Breakdown,Sensor fault,2.96,0
DT-0000076,WO-000037,2025-01-06,Afternoon,M01,Microstop,Vision retry,7.06,0
DT-0000077,WO-000037,2025-01-06,Afternoon,M01,Planned,Calibration,28.44,1
DT-0000078,WO-000037,2025-01-06,Afternoon,M01,Microstop,Vision retry,8.85,0
DT-0000079,WO-000037,2025-01-06,Afternoon,M01,Microstop,Material jam,6.07,0
DT-0000080,WO-000038,2025-01-06,Morning,M02,Material,Material shortage,6.36,0
DT-0000081,WO-000038,2025-01-06,Morning,M02,Breakdown,Sensor fault,29.7,0
DT-0000082,WO-000038,2025-01-06,Morning,M02,Process,Parameter adjustment,2.92,0
DT-0000083,WO-000038,2025-01-06,Morning,M02,Process,Parameter adjustment,6.96,0
DT-0000084,WO-000039,2025-01-06,Afternoon,M02,Changeover,Tooling change,53.61,0
DT-0000085,WO-000040,2025-01-06,Morning,M03,Breakdown,Sensor fault,32.17,0
DT-0000086,WO-000040,2025-01-06,Morning,M03,Planned,Calibration,1.43,1
DT-0000087,WO-000041,2025-01-06,Afternoon,M03,Breakdown,Mechanical fault,25.51,0
DT-0000088,WO-000042,2025-01-06,Morning,M04,Changeover,Fixture setup,35.81,0
DT-0000089,WO-000042,2025-01-06,Morning,M04,Process,Weld parameter adjustment,14.03,0
DT-0000090,WO-000042,2025-01-06,Morning,M04,Planned,Calibration,38.33,1
DT-0000091,WO-000042,2025-01-06,Morning,M04,Microstop,Torch cleaning,11.99,0
DT-0000092,WO-000042,2025-01-06,Morning,M04,Breakdown,Robot recovery,21.2,0
DT-0000093,WO-000043,2025-01-06,Morning,M05,Changeover,Tooling change,7.71,0
DT-0000094,WO-000043,2025-01-06,Morning,M05,Changeover,Planned changeover,57.23,1
DT-0000095,WO-000044,2025-01-06,Afternoon,M05,Microstop,Material jam,49.51,0
DT-0000096,WO-000045,2025-01-06,Morning,M06,Microstop,Vision retry,12.89,0
DT-0000097,WO-000045,2025-01-06,Morning,M06,Breakdown,Sensor fault,9.37,0
DT-0000098,WO-000045,2025-01-06,Morning,M06,Changeover,Tooling change,3.4,0
DT-0000099,WO-000045,2025-01-06,Morning,M06,Microstop,Material jam,5.71,0
DT-0000100,WO-000046,2025-01-06,Afternoon,M06,Planned,Preventive maintenance,27.24,1
DT-0000101,WO-000046,2025-01-06,Afternoon,M06,Microstop,Material jam,17.76,0
DT-0000102,WO-000047,2025-01-07,Morning,M01,Changeover,Tooling change,2.47,0
DT-0000103,WO-000047,2025-01-07,Morning,M01,Microstop,Vision retry,39.14,0
DT-0000104,WO-000048,2025-01-07,Afternoon,M01,Process,Parameter adjustment,30.4,0
DT-0000105,WO-000048,2025-01-07,Afternoon,M01,Breakdown,Sensor fault,14.48,0
DT-0000106,WO-000049,2025-01-07,Morning,M02,Breakdown,Mechanical fault,19.73,0
DT-0000107,WO-000049,2025-01-07,Morning,M02,Breakdown,Mechanical fault,27.72,0
DT-0000108,WO-000050,2025-01-07,Afternoon,M02,Breakdown,Sensor fault,30.55,0
DT-0000109,WO-000050,2025-01-07,Afternoon,M02,Process,Parameter adjustment,24.66,0
DT-0000110,WO-000050,2025-01-07,Afternoon,M02,Material,Material shortage,19.25,0
DT-0000111,WO-000051,2025-01-07,Morning,M03,Process,Parameter adjustment,37.92,0
DT-0000112,WO-000052,2025-01-07,Afternoon,M03,Changeover,Planned changeover,21.64,1
DT-0000113,WO-000053,2025-01-07,Morning,M04,Changeover,Fixture setup,103.7,0
DT-0000114,WO-000054,2025-01-07,Afternoon,M04,Breakdown,Wire feeder fault,119.79,0
DT-0000115,WO-000055,2025-01-07,Morning,M05,Breakdown,Sensor fault,22.12,0
DT-0000116,WO-000055,2025-01-07,Morning,M05,Changeover,Planned changeover,17.86,1
DT-0000117,WO-000055,2025-01-07,Morning,M05,Process,Parameter adjustment,22.18,0
