order_id,date,month,iso_week,shift,machine_id,product_id,planned_qty,total_qty,good_qty,scrap_qty,planned_minutes,run_minutes,ideal_cycle_time_s,actual_cycle_time_s,energy_kwh,labor_hours,material_cost_eur,energy_cost_eur,maintenance_cost_eur,production_cost_eur,revenue_eur
WO-000001,2025-01-01,2025-01,2025-W01,Morning,M01,P03,568,527,520,7,430.0,366.5,38.0,41.73,319.89,7.17,13702.0,46.38,62.62,19405.17,29120.0
WO-000002,2025-01-01,2025-01,2025-W01,Afternoon,M01,P02,299,273,267,6,430.0,379.81,74.0,83.48,352.91,7.17,16107.0,51.17,40.89,22519.73,33642.0
WO-000003,2025-01-01,2025-01,2025-W01,Morning,M02,P02,298,272,267,5,430.0,371.1,74.0,81.86,266.24,7.17,16048.0,38.6,76.86,22463.13,33642.0
WO-000004,2025-01-01,2025-01,2025-W01,Afternoon,M02,P05,402,367,356,11,430.0,359.39,52.0,58.76,240.87,7.17,17616.0,34.93,40.57,24518.17,36312.0
WO-000005,2025-01-01,2025-01,2025-W01,Morning,M03,P03,562,576,569,7,430.0,395.38,38.0,41.19,400.99,7.17,14976.0,58.14,46.15,21139.96,31864.0
WO-000006,2025-01-01,2025-01,2025-W01,Afternoon,M03,P05,436,391,381,10,430.0,370.09,52.0,56.79,387.81,7.17,18768.0,56.23,53.15,26112.05,38862.0
WO-000007,2025-01-01,2025-01,2025-W01,Morning,M04,P03,539,429,421,8,430.0,304.08,38.0,42.53,240.58,7.17,11154.0,34.88,129.23,15981.28,23576.0
WO-000008,2025-01-01,2025-01,2025-W01,Afternoon,M04,P03,570,405,393,12,430.0,297.84,38.0,44.12,227.58,7.17,10530.0,33.0,127.77,15125.94,22008.0
WO-000009,2025-01-01,2025-01,2025-W01,Afternoon,M05,P06,179,146,140,6,430.0,354.29,125.0,145.6,201.16,7.17,20294.0,29.17,43.09,28399.92,41720.0
WO-000010,2025-01-01,2025-01,2025-W01,Morning,M06,P01,337,367,363,4,430.0,396.53,62.0,64.83,232.06,7.17,16148.0,33.65,34.41,22675.72,34122.0
WO-000011,2025-01-01,2025-01,2025-W01,Afternoon,M06,P06,171,180,174,6,430.0,410.83,125.0,136.94,256.98,7.17,25020.0,37.26,30.53,34855.46,51852.0
WO-000012,2025-01-02,2025-01,2025-W01,Morning,M01,P03,593,563,556,7,430.0,388.58,38.0,41.41,338.84,7.17,14638.0,49.13,34.35,20657.65,31136.0
WO-000013,2025-01-02,2025-01,2025-W01,Afternoon,M01,P03,553,524,517,7,430.0,366.45,38.0,41.96,345.57,7.17,13624.0,50.11,24.86,19264.63,28952.0
WO-000014,2025-01-02,2025-01,2025-W01,Morning,M02,P02,299,266,260,6,430.0,371.64,74.0,83.83,256.35,7.17,15694.0,37.17,64.4,21969.24,32760.0
WO-000015,2025-01-02,2025-01,2025-W01,Afternoon,M02,P01,366,297,290,7,430.0,348.3,62.0,70.36,246.44,7.17,13068.0,35.73,59.43,18502.83,27260.0
WO-000016,2025-01-02,2025-01,2025-W01,Morning,M03,P03,587,578,568,10,430.0,395.36,38.0,41.04,396.24,7.17,15028.0,57.46,80.24,21244.37,31808.0
WO-000017,2025-01-02,2025-01,2025-W01,Afternoon,M03,P05,430,399,390,9,430.0,373.37,52.0,56.15,370.42,7.17,19152.0,53.71,53.14,26629.51,39780.0
WO-000018,2025-01-02,2025-01,2025-W01,Morning,M04,P04,234,176,173,3,430.0,305.72,95.0,104.22,245.1,7.17,17424.0,35.54,69.25,24276.45,36330.0
WO-000019,2025-01-02,2025-01,2025-W01,Afternoon,M04,P04,243,169,165,4,430.0,308.12,95.0,109.39,243.66,7.17,16731.0,35.33,126.78,23395.77,34650.0
WO-000020,2025-01-02,2025-01,2025-W01,Morning,M05,P05,417,403,393,10,430.0,381.97,52.0,56.87,217.04,7.17,19344.0,31.47,27.99,26842.13,40086.0
WO-000021,2025-01-02,2025-01,2025-W01,Afternoon,M05,P04,218,192,189,3,430.0,352.89,95.0,110.28,187.75,7.17,19008.0,27.22,42.54,26385.43,39690.0
WO-000022,2025-01-02,2025-01,2025-W01,Morning,M06,P01,353,364,357,7,430.0,403.31,62.0,66.48,240.49,7.17,16016.0,34.87,93.65,22556.19,33558.0
WO-000023,2025-01-02,2025-01,2025-W01,Afternoon,M06,P04,219,219,213,6,430.0,383.87,95.0,105.17,225.48,7.17,21681.0,32.69,53.22,30019.58,44730.0
WO-000024,2025-01-03,2025-01,2025-W01,Morning,M01,P03,587,541,538,3,430.0,391.6,38.0,43.43,345.97,7.17,14066.0,50.17,68.21,19911.54,30128.0
WO-000025,2025-01-03,2025-01,2025-W01,Afternoon,M01,P02,297,258,251,7,430.0,349.93,74.0,81.38,304.25,7.17,15222.0,44.12,19.02,21290.81,31626.0
WO-000026,2025-01-03,2025-01,2025-W01,Morning,M02,P05,420,387,378,9,430.0,367.75,52.0,57.02,268.09,7.17,18576.0,38.87,17.08,25798.62,38556.0
WO-000027,2025-01-03,2025-01,2025-W01,Afternoon,M02,P02,304,275,269,6,430.0,369.12,74.0,80.54,265.71,7.17,16225.0,38.53,12.0,22638.19,33894.0
