check_id,order_id,date,machine_id,product_id,defect_type,defect_count,result
QC-0000001,WO-000001,2025-01-01,M01,P03,Assembly mismatch,3,FAIL
QC-0000002,WO-000001,2025-01-01,M01,P03,Dimensional,3,FAIL
QC-0000003,WO-000001,2025-01-01,M01,P03,Surface finish,1,FAIL
QC-0000004,WO-000002,2025-01-01,M01,P02,Assembly mismatch,5,FAIL
QC-0000005,WO-000002,2025-01-01,M01,P02,Cosmetic,1,FAIL
QC-0000006,WO-000002,2025-01-01,M01,P02,Dimensional,0,PASS
QC-0000007,WO-000003,2025-01-01,M02,P02,Weld porosity,2,FAIL
QC-0000008,WO-000003,2025-01-01,M02,P02,Surface finish,1,FAIL
QC-0000009,WO-000003,2025-01-01,M02,P02,Dimensional,2,FAIL
QC-0000010,WO-000004,2025-01-01,M02,P05,Cosmetic,4,FAIL
QC-0000011,WO-000004,2025-01-01,M02,P05,Assembly mismatch,5,FAIL
QC-0000012,WO-000004,2025-01-01,M02,P05,Surface finish,2,FAIL
QC-0000013,WO-000005,2025-01-01,M03,P03,Dimensional,2,FAIL
QC-0000014,WO-000005,2025-01-01,M03,P03,Material defect,4,FAIL
QC-0000015,WO-000005,2025-01-01,M03,P03,Cosmetic,1,FAIL
QC-0000016,WO-000006,2025-01-01,M03,P05,Dimensional,5,FAIL
QC-0000017,WO-000006,2025-01-01,M03,P05,Surface finish,2,FAIL
QC-0000018,WO-000006,2025-01-01,M03,P05,Cosmetic,3,FAIL
QC-0000019,WO-000007,2025-01-01,M04,P03,Surface finish,5,FAIL
QC-0000020,WO-000007,2025-01-01,M04,P03,Weld porosity,2,FAIL
QC-0000021,WO-000007,2025-01-01,M04,P03,Dimensional,1,FAIL
QC-0000022,WO-000008,2025-01-01,M04,P03,Cosmetic,6,FAIL
QC-0000023,WO-000008,2025-01-01,M04,P03,Dimensional,2,FAIL
QC-0000024,WO-000008,2025-01-01,M04,P03,Weld porosity,4,FAIL
QC-0000025,WO-000009,2025-01-01,M05,P06,Dimensional,5,FAIL
QC-0000026,WO-000009,2025-01-01,M05,P06,Cosmetic,0,PASS
QC-0000027,WO-000009,2025-01-01,M05,P06,Surface finish,1,FAIL
QC-0000028,WO-000010,2025-01-01,M06,P01,Material defect,1,FAIL
QC-0000029,WO-000010,2025-01-01,M06,P01,Assembly mismatch,2,FAIL
QC-0000030,WO-000010,2025-01-01,M06,P01,Surface finish,1,FAIL
QC-0000031,WO-000011,2025-01-01,M06,P06,Cosmetic,4,FAIL
QC-0000032,WO-000011,2025-01-01,M06,P06,Surface finish,1,FAIL
QC-0000033,WO-000011,2025-01-01,M06,P06,Assembly mismatch,1,FAIL
QC-0000034,WO-000012,2025-01-02,M01,P03,Material defect,1,FAIL
QC-0000035,WO-000012,2025-01-02,M01,P03,Weld porosity,3,FAIL
QC-0000036,WO-000012,2025-01-02,M01,P03,Surface finish,3,FAIL
QC-0000037,WO-000013,2025-01-02,M01,P03,Surface finish,6,FAIL
QC-0000038,WO-000013,2025-01-02,M01,P03,Dimensional,0,PASS
QC-0000039,WO-000013,2025-01-02,M01,P03,Material defect,1,FAIL
QC-0000040,WO-000014,2025-01-02,M02,P02,Material defect,5,FAIL
QC-0000041,WO-000014,2025-01-02,M02,P02,Surface finish,1,FAIL
QC-0000042,WO-000014,2025-01-02,M02,P02,Cosmetic,0,PASS
QC-0000043,WO-000015,2025-01-02,M02,P01,Cosmetic,5,FAIL
QC-0000044,WO-000015,2025-01-02,M02,P01,Assembly mismatch,1,FAIL
QC-0000045,WO-000015,2025-01-02,M02,P01,Weld porosity,1,FAIL
QC-0000046,WO-000016,2025-01-02,M03,P03,Weld porosity,5,FAIL
QC-0000047,WO-000016,2025-01-02,M03,P03,Surface finish,1,FAIL
QC-0000048,WO-000016,2025-01-02,M03,P03,Assembly mismatch,4,FAIL
QC-0000049,WO-000017,2025-01-02,M03,P05,Assembly mismatch,5,FAIL
QC-0000050,WO-000017,2025-01-02,M03,P05,Surface finish,4,FAIL
QC-0000051,WO-000017,2025-01-02,M03,P05,Dimensional,0,PASS
QC-0000052,WO-000018,2025-01-02,M04,P04,Weld porosity,2,FAIL
QC-0000053,WO-000018,2025-01-02,M04,P04,Assembly mismatch,1,FAIL
QC-0000054,WO-000018,2025-01-02,M04,P04,Cosmetic,0,PASS
QC-0000055,WO-000019,2025-01-02,M04,P04,Surface finish,2,FAIL
QC-0000056,WO-000019,2025-01-02,M04,P04,Cosmetic,2,FAIL
QC-0000057,WO-000019,2025-01-02,M04,P04,Weld porosity,0,PASS
QC-0000058,WO-000020,2025-01-02,M05,P05,Material defect,4,FAIL
QC-0000059,WO-000020,2025-01-02,M05,P05,Cosmetic,4,FAIL
